DisplaycName,cName,cHKey3,cHKey4,dIntervalStart,dIntervalStartUTC,cReportGroup,nEnteredAcd,nAnsweredAcd,nAbandonedAcd,nFlowOutAcd,nHoldAcd,tHoldAcd,tTalkAcd,tAcw,tAnsweredACD,nAnsweredACDSvcLvl,nAnsweredAcdSvcLvl1,nAnsweredAcdSvcLvl2,nAnsweredAcdSvcLvl3,nAnsweredAcdSvcLvl4,nAnsweredAcdSvcLvl5,nAnsweredAcdSvcLvl6,nAbandonAcdSvcLvl1,nAbandonAcdSvcLvl2,nAbandonAcdSvcLvl3,nAbandonAcdSvcLvl4,nAbandonAcdSvcLvl5,nAbandonAcdSvcLvl6,cServiceLevels,Interval,IntervalSort,IntervalDateLoc,tHandle,tTalkACDOnly,LocalizedMediaType
Q-CustomerSupport,q-customersupport,Call,*,30/03/2020 15:00,30/03/2020 4:00,-,1,1,0,0,1,54,165,468,2,1,1,0,0,0,0,0,0,0,0,0,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >60</VALUE>
<VALUE ID= 2 >120</VALUE>
<VALUE ID= 3 >300</VALUE>
<VALUE ID= 4 >600</VALUE>
<VALUE ID= 5 >1200</VALUE>
</VALUES>",15:00,1500,30/03/2020 15:00,633,111,Call
Q-CustomerSupport,q-customersupport,Call,*,30/03/2020 8:00,29/03/2020 21:00,DNIS-+61295599580,8,8,0,0,3,339,2225,945,36,8,8,0,0,0,0,0,0,0,0,0,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >60</VALUE>
<VALUE ID= 2 >120</VALUE>
<VALUE ID= 3 >300</VALUE>
<VALUE ID= 4 >600</VALUE>
<VALUE ID= 5 >1200</VALUE>
</VALUES>",8:00,800,30/03/2020 8:00,3170,1886,Call
Q-CustomerSupport,q-customersupport,Call,*,30/03/2020 8:30,29/03/2020 21:30,DNIS-+61295599580,7,6,1,0,3,474,2397,2563,188,5,5,0,1,0,0,0,1,0,0,0,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >60</VALUE>
<VALUE ID= 2 >120</VALUE>
<VALUE ID= 3 >300</VALUE>
<VALUE ID= 4 >600</VALUE>
<VALUE ID= 5 >1200</VALUE>
</VALUES>",8:30,830,30/03/2020 8:30,4960,1923,Call
Q-CustomerSupport,q-customersupport,Call,*,30/03/2020 9:00,29/03/2020 22:00,DNIS-+61295599580,8,8,0,0,4,1189,2534,1939,719,3,3,2,3,0,0,0,0,0,0,0,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >60</VALUE>
<VALUE ID= 2 >120</VALUE>
<VALUE ID= 3 >300</VALUE>
<VALUE ID= 4 >600</VALUE>
<VALUE ID= 5 >1200</VALUE>
</VALUES>",9:00,900,30/03/2020 9:00,4473,1345,Call
Q-CustomerSupport,q-customersupport,Call,*,30/03/2020 9:30,29/03/2020 22:30,DNIS-+61295599580,17,12,5,0,3,1691,5059,4064,2337,0,0,2,9,1,0,0,3,1,1,0,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >60</VALUE>
<VALUE ID= 2 >120</VALUE>
<VALUE ID= 3 >300</VALUE>
<VALUE ID= 4 >600</VALUE>
<VALUE ID= 5 >1200</VALUE>
</VALUES>",9:30,930,30/03/2020 9:30,9123,3368,Call
Q-CustomerSupport,q-customersupport,Call,*,30/03/2020 10:00,29/03/2020 23:00,DNIS-+61295599580,23,12,5,0,4,612,3052,4743,3506,0,0,0,7,5,0,0,2,0,2,1,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >60</VALUE>
<VALUE ID= 2 >120</VALUE>
<VALUE ID= 3 >300</VALUE>
<VALUE ID= 4 >600</VALUE>
<VALUE ID= 5 >1200</VALUE>
</VALUES>",10:00,1000,30/03/2020 10:00,7795,2440,Call
Q-CustomerSupport,q-customersupport,Call,*,30/03/2020 10:30,29/03/2020 23:30,DNIS-+61295599580,25,26,1,2,12,3876,10946,6530,5572,5,5,2,12,7,0,0,1,0,0,0,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >60</VALUE>
<VALUE ID= 2 >120</VALUE>
<VALUE ID= 3 >300</VALUE>
<VALUE ID= 4 >600</VALUE>
<VALUE ID= 5 >1200</VALUE>
</VALUES>",10:30,1030,30/03/2020 10:30,17476,7070,Call
Q-CustomerSupport,q-customersupport,Call,*,30/03/2020 11:00,30/03/2020 0:00,DNIS-+61295599580,24,19,2,0,10,2948,9634,9238,1614,7,7,8,4,0,0,0,0,0,2,0,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >60</VALUE>
<VALUE ID= 2 >120</VALUE>
<VALUE ID= 3 >300</VALUE>
<VALUE ID= 4 >600</VALUE>
<VALUE ID= 5 >1200</VALUE>
</VALUES>",11:00,1100,30/03/2020 11:00,18872,6686,Call
Q-CustomerSupport,q-customersupport,Call,*,30/03/2020 11:30,30/03/2020 0:30,DNIS-+61295599580,17,18,3,0,7,720,4771,3821,3102,3,3,5,6,4,0,0,0,1,1,1,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >60</VALUE>
<VALUE ID= 2 >120</VALUE>
<VALUE ID= 3 >300</VALUE>
<VALUE ID= 4 >600</VALUE>
<VALUE ID= 5 >1200</VALUE>
</VALUES>",11:30,1130,30/03/2020 11:30,8592,4051,Call
Q-CustomerSupport,q-customersupport,Call,*,30/03/2020 12:00,30/03/2020 1:00,DNIS-+61295599580,13,12,1,0,6,1144,4263,5368,2281,2,2,1,8,1,0,0,0,1,0,0,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >60</VALUE>
<VALUE ID= 2 >120</VALUE>
<VALUE ID= 3 >300</VALUE>
<VALUE ID= 4 >600</VALUE>
<VALUE ID= 5 >1200</VALUE>
</VALUES>",12:00,1200,30/03/2020 12:00,9631,3119,Call
Q-CustomerSupport,q-customersupport,Call,*,30/03/2020 12:30,30/03/2020 1:30,DNIS-+61295599580,21,16,0,0,7,2002,5797,5058,3428,0,0,1,13,2,0,0,0,0,0,0,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >60</VALUE>
<VALUE ID= 2 >120</VALUE>
<VALUE ID= 3 >300</VALUE>
<VALUE ID= 4 >600</VALUE>
<VALUE ID= 5 >1200</VALUE>
</VALUES>",12:30,1230,30/03/2020 12:30,10855,3795,Call
Q-CustomerSupport,q-customersupport,Call,*,30/03/2020 13:00,30/03/2020 2:00,DNIS-+61295599580,17,20,2,0,8,1708,6166,6189,4047,1,1,2,14,3,0,0,0,0,2,0,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >60</VALUE>
<VALUE ID= 2 >120</VALUE>
<VALUE ID= 3 >300</VALUE>
<VALUE ID= 4 >600</VALUE>
<VALUE ID= 5 >1200</VALUE>
</VALUES>",13:00,1300,30/03/2020 13:00,12355,4458,Call
Q-CustomerSupport,q-customersupport,Call,*,30/03/2020 13:30,30/03/2020 2:30,DNIS-+61295599580,21,22,0,0,6,3363,11170,6791,2853,5,5,4,13,0,0,0,0,0,0,0,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >60</VALUE>
<VALUE ID= 2 >120</VALUE>
<VALUE ID= 3 >300</VALUE>
<VALUE ID= 4 >600</VALUE>
<VALUE ID= 5 >1200</VALUE>
</VALUES>",13:30,1330,30/03/2020 13:30,17961,7807,Call
Q-CustomerSupport,q-customersupport,Call,*,30/03/2020 14:00,30/03/2020 3:00,DNIS-+61295599580,21,14,0,0,8,1793,5572,8903,1232,7,7,2,5,0,0,0,0,0,0,0,0,0,"<?xml version= 1.0  encoding= utf-8 ?>
<VALUES><VALUE ID= 1 >60</VALUE>
<VALUE ID= 2 >120</VALUE>
<VALUE ID= 3 >300</VALUE>
<VALUE ID= 4 >600</VALUE>
<VALUE ID= 5 >1200</VALUE>
</VALUES>",14:00,1400,30/03/2020 14:00,14475,3779,Call
